notes,recalc,era,rapper,rapper_clean,color,words,id,source,images
,4091,2000s,Nelly,Nelly,south nowutang fourth,"4,413",action,site,assets/images/nelly.jpg
,2472,2010s,NF,NF,,2472,action,new,assets/images/nf.jpg
4,3616,2010s,Nicki Minaj,Nicki Minaj,east nowutang third,"4,162",action,site,assets/images/nicki-minaj.jpg
,4545,1990s,Outkast,Outkast,south nowutang sixth,"5,212",action,site,assets/images/outkast.jpg
remove,,,Petey Pablo,Petey Pablo,south nowutang second,"3,617",action,site,assets/images/petey-pablo.jpg
,4261,1990s,Public Enemy,Public Enemy,east nowutang fourth,"4,481",action,site,assets/images/public-enemy.jpg
remove,4323,1990s,Puff Daddy,Puff Daddy,east nowutang default fourth,"4,429",action,site,assets/images/puff-daddy.jpg
,5428,1990s,Raekwon (only solo albums),Raekwon,east wutang sixth,"5,001",action,site,assets/images/raekwon.jpg
,4301,1980s,Rakim (including Eric B. & Rakim),Rakim,east nowutang fifth,4621,action,site,assets/images/rakim.jpg
,5196,1990s,Redman,Redman,east nowutang sixth,"5,331",action,site,assets/images/redman.jpg
remove,2853,2010s,Rich Homie Quan,Rich Homie Quan,,2853,action,new,assets/images/rich-homie.jpg
remove,2709,2010s,Rich the Kid,Rich the Kid,,2709,action,new,assets/images/rich-the-kid.jpg
,3907,2000s,Rick Ross,Rick Ross,,4233,action,poster,assets/images/rickross.jpg
,4757,2010s,Rittz,Rittz,,4757,action,new,assets/images/rittz.jpg
,5781,1990s,The Roots,The Roots,east nowutang seventh,"5,803",action,site,assets/images/roots.jpg
,4392,2000s,Royce da 5'9,Royce da 5'9,midwest nowutang fourth,"4,430",action,site,assets/images/royce-da-5-9.jpg
,3899,1980s,Run-D.M.C.,Run-D.M.C.,east nowutang third,"4,039",action,site,assets/images/run-dmc.jpg
,3491,2010s,Russ,Russ,,"3,491",action,new,assets/images/russ.jpg
,6018,2000s,RZA (only solo albums),RZA,east wutang seventh,"5,905",action,site,assets/images/rza.jpg
,5443,2000s,Sage Francis,Sage Francis,,6246,action,poster,assets/images/sage.jpg
,3601,1990s,Salt-n-Pepa,Salt-n-Pepa,east nowutang second,"3,612",action,site,assets/images/salt-n-pepa.jpg
,3902,1990s,Scarface,Scarface,south nowutang third,"4,123",action,site,assets/images/scarface.jpg
,4097,2010s,ScHoolboy Q,ScHoolboy Q,,4097,action,new,assets/images/schoolboy.jpg
remove,3931,2000s,Skyzoo,Skyzoo,,3931,action,new,assets/images/skyzoo.jpg
,3797,1990s,Snoop Dogg,Snoop Dogg,west nowutang second,"3,974",action,site,assets/images/snoop.jpg
,4374,2010s,$uicideboy$,$uicideboy$,,"4,374",action,new,assets/images/suicideboys.jpg
,4171,2000s,T.I.,T.I.,south nowutang third,"4,151",action,site,assets/images/t-i-.jpg
,4678,2000s,Talib Kweli,Talib Kweli,east nowutang fifth,"4,703",action,site,assets/images/talib-kweli.jpg
,4406,2000s,Tech n9ne,Tech n9ne,midwest nowutang fifth,"4,830",action,site,assets/images/tech-nine.jpg
,3978,1990s,Three 6 Mafia,Three 6 Mafia,south nowutang fourth,"4,225",action,site,assets/images/three-six-mafia.jpg
remove,2778,1980s,Too Short,Too Short,west nowutang first,"3,391",action,site,assets/images/too-short.jpg
,3392,2010s,Travis Scott,Travis Scott,,"3,392",action,new,assets/images/travis-scott.jpg
